                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                         "15140"          3.2000000000000000E+001          3.2000000000000000E+001          1.5000000000000000E+000                       "gfortran"                         "10.2.0"            "x86_64-macos-21.2.1"                       "20211218" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                              10          4.4813379277492970E+002          1.5000000000000000E+000          2.2057601369065836E+001          3.7198476927944466E+002          3.7198476927944466E+002          8.3580777449958887E+000          8.3580777449958887E+000         -7.0612204045008481E-002         -7.0612204045008481E-002          3.1999925361481921E+001          3.1999925361481921E+001         -9.8999999999999986E+001         -6.8068471020988550E+000         -6.8068471020988550E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.8068471020988550E+000         -6.8068471020988550E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321211087467915E+054         -5.8764321504713204E+038          0.0000000000000000E+000         -2.6517189277255197E+037         -5.6112602576987680E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              11          5.5502390047997778E+002          1.5000000000000000E+000          2.2057597590670472E+001          3.7198470555966384E+002          3.7198470555966384E+002          8.3580763132843590E+000          8.3580763132843590E+000         -6.9913761776650582E-002         -6.9913761776650582E-002          3.1999908917035143E+001          3.1999908917035143E+001         -9.8999999999999986E+001         -6.8129182470905949E+000         -6.8129182470905949E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.8129182470905949E+000         -6.8129182470905949E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321179978951633E+054         -5.7985341887050216E+038          0.0000000000000000E+000         -2.6517144557972248E+037         -5.5333627431252989E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              12          6.8329202972603548E+002          1.5000000000000000E+000          2.2057593111109103E+001          3.7198463001524829E+002          3.7198463001524829E+002          8.3580746158866450E+000          8.3580746158866450E+000         -6.9391009526470759E-002         -6.9391009526470759E-002          3.1999889420960123E+001          3.1999889420960123E+001         -9.8999999999999986E+001         -6.8181715733912567E+000         -6.8181715733912567E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.8181715733912567E+000         -6.8181715733912567E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321143097580705E+054         -5.7320021428796645E+038          0.0000000000000000E+000         -2.6517091548673767E+037         -5.4668312273929267E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              13          8.3721378482130467E+002          1.5000000000000000E+000          2.2057587787978786E+001          3.7198454024468026E+002          3.7198454024468026E+002          8.3580725988433446E+000          8.3580725988433446E+000         -6.9132390976680530E-002         -6.9132390976680530E-002          3.1999866253490168E+001          3.1999866253490168E+001         -9.8999999999999986E+001         -6.8224213982944448E+000         -6.8224213982944448E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.8224213982944448E+000         -6.8224213982944448E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321099270929898E+054         -5.6787640747053522E+038          0.0000000000000000E+000         -2.6517028569506611E+037         -5.4135937890102859E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              14          1.0219198909356278E+003          1.5000000000000000E+000          2.2057581442720561E+001          3.7198443323669807E+002          3.7198443323669807E+002          8.3580701944948075E+000          8.3580701944948075E+000         -6.9245151754060638E-002         -6.9245151754060638E-002          3.1999838637502673E+001          3.1999838637502673E+001         -9.8999999999999986E+001         -6.8253206755154254E+000         -6.8253206755154254E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.8253206755154254E+000         -6.8253206755154254E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321047028902453E+054         -5.6427408483669594E+038          0.0000000000000000E+000         -2.6516953517419272E+037         -5.3775713131927663E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              15          1.2435672182728156E+003          1.5000000000000000E+000          2.2057573846488516E+001          3.7198430513198809E+002          3.7198430513198809E+002          8.3580673161266237E+000          8.3580673161266237E+000         -6.9891798483589673E-002         -6.9891798483589673E-002          3.1999805577017703E+001          3.1999805577017703E+001         -9.8999999999999986E+001         -6.8263532788025341E+000         -6.8263532788025341E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.8263532788025341E+000         -6.8263532788025341E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6320984487388269E+054         -5.6299660322641233E+038          0.0000000000000000E+000         -2.6516863701850710E+037         -5.3647973952456163E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              16          1.5095440110774409E+003          1.5000000000000000E+000          2.2057564700370239E+001          3.7198415088961883E+002          3.7198415088961883E+002          8.3580638504747462E+000          8.3580638504747462E+000         -7.1346630615900353E-002         -7.1346630615900353E-002          3.1999765771114145E+001          3.1999765771114145E+001         -9.8999999999999986E+001         -6.8248962584756754E+000         -6.8248962584756754E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.8248962584756754E+000         -6.8248962584756754E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6320909185420029E+054         -5.6479898993173765E+038          0.0000000000000000E+000         -2.6516755613755242E+037         -5.3828223431798241E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              17          1.8287161624429912E+003          1.5000000000000000E+000          2.2057553609311771E+001          3.7198396384730370E+002          3.7198396384730370E+002          8.3580596478451206E+000          8.3580596478451206E+000         -7.4063647762098048E-002         -7.4063647762098048E-002          3.1999717500450171E+001          3.1999717500450171E+001         -9.8999999999999986E+001         -6.8203417183405799E+000         -6.8203417183405799E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.8203417183405799E+000         -6.8203417183405799E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6320817870505832E+054         -5.7047319436243671E+038          0.0000000000000000E+000         -2.6516624619744405E+037         -5.4395656974269230E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              18          2.2117227440816514E+003          1.5000000000000000E+000          2.2057540048780822E+001          3.7198373515920247E+002          3.7198373515920247E+002          8.3580545094817058E+000          8.3580545094817058E+000         -7.8734670899109557E-002         -7.8734670899109557E-002          3.1999658482179033E+001          3.1999658482179033E+001         -9.8999999999999986E+001         -6.8122197537586811E+000         -6.8122197537586811E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.8122197537586811E+000         -6.8122197537586811E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6320706224178599E+054         -5.8074100793450811E+038          0.0000000000000000E+000         -2.6516464570114345E+037         -5.5422454336439380E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              19          2.5875024462709944E+003          1.5000000000000000E+000          2.2057526372883881E+001          3.7198350452554087E+002          3.7198350452554087E+002          8.3580493274037462E+000          8.3580493274037462E+000         -8.4676752662863383E-002         -8.4676752662863383E-002          3.1999598961884754E+001          3.1999598961884754E+001         -9.8999999999999986E+001         -6.8002682481610828E+000         -6.8002682481610828E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.8002682481610828E+000         -6.8002682481610828E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6320593628300704E+054         -5.9620384688096611E+038          0.0000000000000000E+000         -2.6516300304519616E+037         -5.6968754657644650E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
