                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                         "15140"          3.2000000000000000E+001          3.2000000000000000E+001          1.5000000000000000E+000                       "gfortran"                         "10.2.0"            "x86_64-macos-21.2.1"                       "20211109" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                              10          4.4813379277492970E+002          1.5000000000000000E+000          2.2057600047734766E+001          3.7198474699619533E+002          3.7198474699619533E+002          8.3580772443164353E+000          8.3580772443164353E+000         -5.7935209857186585E-003         -5.7935209857186585E-003          3.1999919610743831E+001          3.1999919610743831E+001         -9.8999999999999986E+001         -6.7451535718460320E+000         -6.7451535718460320E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7451535718460320E+000         -6.7451535718460320E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321200208600981E+054          3.7378840672506486E+040          0.0000000000000000E+000         -2.6517173978405175E+037         -6.4677602029262764E+038          3.8052133866777517E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              11          5.5502390047997778E+002          1.5000000000000000E+000          2.2057595622353830E+001          3.7198467236549186E+002          3.7198467236549186E+002          8.3580755674487968E+000          8.3580755674487968E+000         -6.4232868140608182E-003         -6.4232868140608182E-003          3.1999900350470078E+001          3.1999900350470078E+001         -9.8999999999999986E+001         -6.7442750589745470E+000         -6.7442750589745470E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7442750589745470E+000         -6.7442750589745470E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321163773294918E+054          4.4031607253665842E+040          0.0000000000000000E+000         -2.6517121673114922E+037         -6.4808545948328807E+038          4.4706209834822246E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              12          6.8329202972603548E+002          1.5000000000000000E+000          2.2057590296884751E+001          3.7198458255548246E+002          3.7198458255548246E+002          8.3580735495192933E+000          8.3580735495192933E+000         -7.3105083436531531E-003         -7.3105083436531531E-003          3.1999877172816216E+001          3.1999877172816216E+001         -9.8999999999999986E+001         -6.7430492879772004E+000         -6.7430492879772004E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7430492879772004E+000         -6.7430492879772004E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321119927368870E+054          5.1251212931557459E+040          0.0000000000000000E+000         -2.6517058733713704E+037         -6.4991696614954184E+038          5.1927646956440713E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              13          8.2358181936952974E+002          1.5000000000000000E+000          2.2057584449613103E+001          3.7198448394566714E+002          3.7198448394566714E+002          8.3580713338680876E+000          8.3580713338680876E+000         -8.4375977536355114E-003         -8.4375977536355114E-003          3.1999851724172025E+001          3.1999851724172025E+001         -9.8999999999999986E+001         -6.7413614143568088E+000         -6.7413614143568088E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7413614143568088E+000         -6.7413614143568088E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321071785360442E+054          5.8600226018096436E+040          0.0000000000000000E+000         -2.6516989066723891E+037         -6.5244745036335298E+038          5.9279190457526516E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              14          9.2392686538855787E+002          1.5000000000000000E+000          2.2057580247030625E+001          3.7198441307229132E+002          3.7198441307229132E+002          8.3580697414233569E+000          8.3580697414233569E+000         -9.3562699575541631E-003         -9.3562699575541631E-003          3.1999833433593739E+001          3.1999833433593739E+001         -9.8999999999999986E+001         -6.7392684998153314E+000         -6.7392684998153314E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7392684998153314E+000         -6.7392684998153314E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321037184508466E+054          6.4578702436805420E+040          0.0000000000000000E+000         -2.6516936567345655E+037         -6.5559890966216121E+038          6.5260818283034924E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              15          1.0036804913458814E+003          1.5000000000000000E+000          2.2057576893731817E+001          3.7198435652144241E+002          3.7198435652144241E+002          8.3580684707896342E+000          8.3580684707896342E+000         -1.0133525053598783E-002         -1.0133525053598783E-002          3.1999818839292981E+001          3.1999818839292981E+001         -9.8999999999999986E+001         -6.7375671454095842E+000         -6.7375671454095842E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7375671454095842E+000         -6.7375671454095842E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321009576028291E+054          6.8113737794953059E+040          0.0000000000000000E+000         -2.6516895234078318E+037         -6.5817201358977955E+038          6.8798426703776918E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              16          1.0717919027438325E+003          1.5000000000000000E+000          2.2057574020708529E+001          3.7198430807007685E+002          3.7198430807007685E+002          8.3580673821421634E+000          8.3580673821421634E+000         -1.0828905150619921E-002         -1.0828905150619921E-002          3.1999806335261606E+001          3.1999806335261606E+001         -9.8999999999999986E+001         -6.7361698250622766E+000         -6.7361698250622766E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7361698250622766E+000         -6.7361698250622766E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6320985921780584E+054          7.1024041522277976E+040          0.0000000000000000E+000         -2.6516860118185652E+037         -6.6029285806383566E+038          7.1710851240459996E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              17          1.1339855694601724E+003          1.5000000000000000E+000          2.2057571389901167E+001          3.7198426370349989E+002          3.7198426370349989E+002          8.3580663852752721E+000          8.3580663852752721E+000         -1.1489412741528345E-002         -1.1489412741528345E-002          3.1999794885409919E+001          3.1999794885409919E+001         -9.8999999999999986E+001         -6.7349463009196153E+000         -6.7349463009196153E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7349463009196153E+000         -6.7349463009196153E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6320964261761385E+054          7.3594646216846151E+040          0.0000000000000000E+000         -2.6516828200354456E+037         -6.6215553064404087E+038          7.4283318575690549E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              18          1.1931320063335354E+003          1.5000000000000000E+000          2.2057568881412990E+001          3.7198422139974355E+002          3.7198422139974355E+002          8.3580654347576324E+000          8.3580654347576324E+000         -1.2141268852915454E-002         -1.2141268852915454E-002          3.1999783967920681E+001          3.1999783967920681E+001         -9.8999999999999986E+001         -6.7338058142739383E+000         -6.7338058142739383E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7338058142739383E+000         -6.7338058142739383E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6320943608832609E+054          7.6039190820179077E+040          0.0000000000000000E+000         -2.6516797897168882E+037         -6.6389652261817184E+038          7.6729604140694416E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              19          1.2508182232398940E+003          1.5000000000000000E+000          2.2057566428606172E+001          3.7198418003501109E+002          3.7198418003501109E+002          8.3580645053388007E+000          8.3580645053388007E+000         -1.2800126503573791E-002         -1.2800126503573791E-002          3.1999773292771497E+001          3.1999773292771497E+001         -9.8999999999999986E+001         -6.7326981056260253E+000         -6.7326981056260253E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7326981056260253E+000         -6.7326981056260253E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6320923414350000E+054          7.8410307014216027E+040          0.0000000000000000E+000         -2.6516768343504443E+037         -6.6559186266750278E+038          7.9102415645227032E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
