                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                         "15140"          5.0000000000000000E+000          3.0000000000000000E+000          3.0000000000000000E+000                       "gfortran"                         "10.2.0"            "x86_64-macos-21.2.1"                       "20211217" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index                         Pre_zams 
                              10          4.6436302246991843E+004          3.0000000000000000E+000          1.7507141107017588E+001          1.1071681277710979E+002          1.8452788479774836E+002          7.4193680066945600E+000          5.8765694093820757E+000         -5.7349619709238009E-001         -1.0000000000000000E+000          4.9999966311919017E+000          3.0000001978487338E+000         -9.8999999999999986E+001         -1.0130948359622650E+001         -1.1360107549743599E+001         -9.8999999999999986E+001         -1.2577203864059761E+001         -1.0159012910621586E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.8998478231875637E-002          1.3406840195663812E+053          1.0905730757196977E+037          0.0000000000000000E+000         -4.5161635101111331E+033         -2.2328149310639681E+034          1.0932575070017727E+037          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                              11          5.7512417078390041E+004          3.0000000000000000E+000          1.7507140537367675E+001          1.1071682178376220E+002          1.8452786618438091E+002          7.4193674820992461E+000          5.8765694813659479E+000         -5.7492019635357949E-001         -1.0000000000000000E+000          4.9999958014600470E+000          3.0000002466655542E+000         -9.8999999999999986E+001         -1.0125449685660120E+001         -1.1355817960166100E+001         -9.8999999999999986E+001         -1.2572914261737132E+001         -1.0153433644409700E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.8834453736974206E-002          1.3406838625239115E+053          1.2605816673211072E+037          0.0000000000000000E+000         -4.5161624417493454E+033         -2.2616143678848244E+034          1.2632948979331670E+037          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                              12          7.0129002937659840E+004          3.0000000000000000E+000          1.7507139878950309E+001          1.1071683218378905E+002          1.8452784468064300E+002          7.4193668759844300E+000          5.8765695643557887E+000         -5.7703772001230147E-001         -1.0000000000000000E+000          4.9999948427067062E+000          3.0000003028152213E+000         -9.8999999999999986E+001         -1.0119234957165776E+001         -1.1351594661315550E+001         -9.8999999999999986E+001         -1.2568690947440611E+001         -1.0147086696485923E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.8565289691228650E-002          1.3406836809607590E+053          1.4429532044060179E+037          0.0000000000000000E+000         -4.5161612095447816E+033         -2.2947924959236473E+034          1.4456996130228959E+037          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                              13          8.2531936210984772E+004          3.0000000000000000E+000          1.7507139221767471E+001          1.1071684254931503E+002          1.8452782323222536E+002          7.4193662713429962E+000          5.8765696468768951E+000         -5.7958920518048229E-001         -1.0000000000000000E+000          4.9999938861575766E+000          3.0000003584530988E+000         -9.8999999999999986E+001         -1.0112817126153860E+001         -1.1348153854452312E+001         -9.8999999999999986E+001         -1.2565250122811243E+001         -1.0140472409781561E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.8165206154886691E-002          1.3406834996653603E+053          1.6280856818224296E+037          0.0000000000000000E+000         -4.5161599885111994E+033         -2.3298333804362445E+034          1.6308671312017169E+037          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                              14          9.3923479707699764E+004          3.0000000000000000E+000          1.7507138609664540E+001          1.1071685218699740E+002          1.8452780327188984E+002          7.4193657085549694E+000          5.8765697233864493E+000         -5.8232632197498413E-001         -1.0000000000000000E+000          4.9999929956793681E+000          3.0000004098189215E+000         -9.8999999999999986E+001         -1.0106959277103339E+001         -1.1345908324868674E+001         -9.8999999999999986E+001         -1.2563004575623410E+001         -1.0134378100717642E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.7683413467379326E-002          1.3406833307246420E+053          1.8158757240515569E+037          0.0000000000000000E+000         -4.5161588552388282E+033         -2.3625425132855989E+034          1.8186898824503663E+037          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                              15          1.0411416172269182E+005          3.0000000000000000E+000          1.7507138055061990E+001          1.1071686090301577E+002          1.8452778520291881E+002          7.4193651990010192E+000          5.8765697923683380E+000         -5.8509854489097202E-001         -1.0000000000000000E+000          4.9999921892937742E+000          3.0000004559175069E+000         -9.8999999999999986E+001         -1.0101660490137807E+001         -1.1344515651885919E+001         -9.8999999999999986E+001         -1.2561611886388164E+001         -1.0128825968610119E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.7166925795313135E-002          1.3406831775750268E+053          2.0087985641987929E+037          0.0000000000000000E+000         -4.5161578295929465E+033         -2.3927063817428143E+034          2.0116428863634951E+037          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                              16          1.1316875367051653E+005          3.0000000000000000E+000          1.7507137556345462E+001          1.1071686872591444E+002          1.8452776896954302E+002          7.4193647411266426E+000          5.8765698540895919E+000         -5.8783336956210663E-001         -1.0000000000000000E+000          4.9999914645675547E+000          3.0000004969690472E+000         -9.8999999999999986E+001         -1.0096694909154856E+001         -1.1343539425086709E+001         -9.8999999999999986E+001         -1.2560635645003053E+001         -1.0123604135306008E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.6644204765896163E-002          1.3406830397861035E+053          2.2090910501181043E+037          0.0000000000000000E+000         -4.5161569072176849E+033         -2.4214104491931607E+034          2.2119640762580193E+037          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                              17          1.2122388760843854E+005          3.0000000000000000E+000          1.7507137107460871E+001          1.1071687575400168E+002          1.8452775437135651E+002          7.4193643292984550E+000          5.8765699093692625E+000         -5.9049937582765044E-001         -1.0000000000000000E+000          4.9999908126125669E+000          3.0000005335625861E+000         -9.8999999999999986E+001         -1.0091855153619417E+001         -1.1342668353937487E+001         -9.8999999999999986E+001         -1.2559764560864851E+001         -1.0118511928013199E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.6128934710726282E-002          1.3406829157014708E+053          2.4145139705447418E+037          0.0000000000000000E+000         -4.5161560765026090E+033         -2.4497312445901216E+034          2.4174153173969820E+037          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                              18          1.2842146333293455E+005          3.0000000000000000E+000          1.7507136701662663E+001          1.1071688209593714E+002          1.8452774118594107E+002          7.4193639572593515E+000          5.8765699591016354E+000         -5.9308574188364749E-001         -1.0000000000000000E+000          4.9999902235488953E+000          3.0000005663304461E+000         -9.8999999999999986E+001         -1.0087024002996445E+001         -1.1341738165669407E+001         -9.8999999999999986E+001         -1.2558834361018331E+001         -1.0113435012624043E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.5627025429702638E-002          1.3406828034711377E+053          2.6236699217117086E+037          0.0000000000000000E+000         -4.5161553249224897E+033         -2.4783024823370241E+034          2.6265998397265380E+037          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                              19          1.3488909179745708E+005          3.0000000000000000E+000          1.7507136332705802E+001          1.1071688785192644E+002          1.8452772920777329E+002          7.4193636192252965E+000          5.8765700041064708E+000         -5.9559019237975952E-001         -1.0000000000000000E+000          4.9999896882406247E+000          3.0000005958476081E+000         -9.8999999999999986E+001         -1.0082141109995980E+001         -1.1340670459181231E+001         -9.8999999999999986E+001         -1.2557766644162184E+001         -1.0108314017334122E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.5140493773027641E-002          1.3406827013806092E+053          2.8319554885390988E+037          0.0000000000000000E+000         -4.5161546409867798E+033         -2.5074689148194436E+034          2.8349145729180169E+037          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
