                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                         "15140"          5.0000000000000000E+000          3.0000000000000000E+000          3.0000000000000000E+000                       "gfortran"                         "10.2.0"            "x86_64-macos-21.2.1"                       "20211217" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index                         Pre_zams 
                              10          4.6436302246991843E+004          3.0000000000000000E+000          1.7507141108311178E+001          1.1071681275459311E+002          1.8452788484208051E+002          7.4193680079321922E+000          5.8765694091755289E+000         -5.7358290872561768E-001         -1.0000000000000000E+000          4.9999966331320946E+000          3.0000001976819961E+000         -9.8999999999999986E+001         -1.0131201348629650E+001         -1.1360482724852814E+001         -9.8999999999999986E+001         -1.2577579039210729E+001         -1.0159257744359879E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.8981881704836481E-002          1.3406840199130328E+053          8.2777483105211465E+036          0.0000000000000000E+000         -4.5161635124811915E+033         -2.2315495073584646E+034          8.3045799691072117E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                              11          5.7512417078390041E+004          3.0000000000000000E+000          1.7507140538982579E+001          1.1071682175563517E+002          1.8452786623974205E+002          7.4193674836446810E+000          5.8765694811077349E+000         -5.7500464759695069E-001         -1.0000000000000000E+000          4.9999958038824985E+000          3.0000002464568483E+000         -9.8999999999999986E+001         -1.0125702181137624E+001         -1.1356191487452937E+001         -9.8999999999999986E+001         -1.2573287789076725E+001         -1.0153678085603115E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.8818059680553293E-002          1.3406838629565290E+053          9.5608676921590904E+036          0.0000000000000000E+000         -4.5161624447058356E+033         -2.2603347544363460E+034          9.5879872021481599E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                              12          7.0137875543993025E+004          3.0000000000000000E+000          1.7507139880484175E+001          1.1071683215634178E+002          1.8452784473395769E+002          7.4193668774687467E+000          5.8765695640952575E+000         -5.7712072025522654E-001         -1.0000000000000000E+000          4.9999948450274321E+000          3.0000003025971687E+000         -9.8999999999999986E+001         -1.0119494190143627E+001         -1.1351972271075518E+001         -9.8999999999999986E+001         -1.2569068557266615E+001         -1.0147338090263890E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.8549328572516796E-002          1.3406836813681272E+053          1.0947764447591711E+037          0.0000000000000000E+000         -4.5161612122906515E+033         -2.2934575866719290E+034          1.0975215184670720E+037          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                              13          8.2553641856913207E+004          3.0000000000000000E+000          1.7507139223004589E+001          1.1071684252595766E+002          1.8452782327644576E+002          7.4193662725675527E+000          5.8765696466412995E+000         -5.7967159632892695E-001         -1.0000000000000000E+000          4.9999938880624848E+000          3.0000003582442281E+000         -9.8999999999999986E+001         -1.0113077499264509E+001         -1.1348531308066910E+001         -9.8999999999999986E+001         -1.2565627576494837E+001         -1.0140725085971150E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.8149527637044167E-002          1.3406834999880469E+053          1.2355702508306672E+037          0.0000000000000000E+000         -4.5161599906643247E+033         -2.3284713424997440E+034          1.2383503381722334E+037          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                              14          9.3957182775990019E+004          3.0000000000000000E+000          1.7507138610609950E+001          1.1071685216769383E+002          1.8452780330713708E+002          7.4193657095234320E+000          5.8765697231760621E+000         -5.8240831501162993E-001         -1.0000000000000000E+000          4.9999929971743811E+000          3.0000004096198385E+000         -9.8999999999999986E+001         -1.0107216565544734E+001         -1.1346282727686120E+001         -9.8999999999999986E+001         -1.2563378978506943E+001         -1.0134627757940425E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.7667860319760296E-002          1.3406833309641515E+053          1.3783682996408350E+037          0.0000000000000000E+000         -4.5161588568315328E+033         -2.3611778300197928E+034          1.3811810933565379E+037          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                              15          1.0415773048338358E+005          3.0000000000000000E+000          1.7507138055783670E+001          1.1071686088673877E+002          1.8452778523136641E+002          7.4193651997749175E+000          5.8765697921755597E+000         -5.8518008911680464E-001         -1.0000000000000000E+000          4.9999921904767950E+000          3.0000004557237827E+000         -9.8999999999999986E+001         -1.0101912733541768E+001         -1.1344885410361451E+001         -9.8999999999999986E+001         -1.2561981644926687E+001         -1.0129070627677121E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.7151459177994898E-002          1.3406831777504013E+053          1.5250971602389673E+037          0.0000000000000000E+000         -4.5161578307596218E+033         -2.3913518427048097E+034          1.5279401278647480E+037          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                              16          1.1322009446498739E+005          3.0000000000000000E+000          1.7507137556913889E+001          1.1071686871160465E+002          1.8452776899343883E+002          7.4193647417696456E+000          5.8765698539066662E+000         -5.8791435191004426E-001         -1.0000000000000000E+000          4.9999914655397326E+000          3.0000004967761238E+000         -9.8999999999999986E+001         -1.0096941198006407E+001         -1.1343903573452412E+001         -9.8999999999999986E+001         -1.2560999793430051E+001         -1.0123842891591583E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.6628834658897884E-002          1.3406830399170329E+053          1.6774620126501170E+037          0.0000000000000000E+000         -4.5161569080913648E+033         -2.4200726048290591E+034          1.6803337009457550E+037          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                              17          1.2128131258230636E+005          3.0000000000000000E+000          1.7507137107931086E+001          1.1071687574084116E+002          1.8452775439244687E+002          7.4193643298600751E+000          5.8765699091903203E+000         -5.9057970870048615E-001         -1.0000000000000000E+000          4.9999908134526088E+000          3.0000005333671331E+000         -9.8999999999999986E+001         -1.0092095048470110E+001         -1.1343026277894069E+001         -9.8999999999999986E+001         -1.2560122484882477E+001         -1.0118744352423139E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.6113682507183321E-002          1.3406829158033628E+053          1.8335942078078372E+037          0.0000000000000000E+000         -4.5161560771855288E+033         -2.4484135116877647E+034          1.8364942369272435E+037          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                              18          1.2848366500376292E+005          3.0000000000000000E+000          1.7507136702075158E+001          1.1071688208333050E+002          1.8452774120550413E+002          7.4193639577758743E+000          5.8765699589225013E+000         -5.9316537374713618E-001         -1.0000000000000000E+000          4.9999902243145877E+000          3.0000005661302223E+000         -9.8999999999999986E+001         -1.0087257316855842E+001         -1.1342089524959130E+001         -9.8999999999999986E+001         -1.2559185720369896E+001         -1.0113660926008556E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.5611907522181703E-002          1.3406828035553816E+053          1.9927853740329588E+037          0.0000000000000000E+000         -4.5161553254899323E+033         -2.4770065862536621E+034          1.9957139961517616E+037          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                              19          1.3495508855520978E+005          3.0000000000000000E+000          1.7507136333088692E+001          1.1071688783946972E+002          1.8452772922668717E+002          7.4193636197217039E+000          5.8765700039244368E+000         -5.9566909730167716E-001         -1.0000000000000000E+000          4.9999896889717750E+000          3.0000005956412732E+000         -9.8999999999999986E+001         -1.0082367848687770E+001         -1.1341015152170598E+001         -9.8999999999999986E+001         -1.2558111337214905E+001         -1.0108533429957449E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.5125519659121942E-002          1.3406827014551328E+053          2.1511843907180294E+037          0.0000000000000000E+000         -4.5161546414909829E+033         -2.5061953565487854E+034          2.1541422015387273E+037          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
