                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                         "15140"          3.2000000000000000E+001          3.2000000000000000E+001          1.5000000000000000E+000                       "gfortran"                         "10.2.0"            "x86_64-macos-21.2.1"                       "20211206" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                              11          5.5502390047997778E+002          1.5000000000000000E+000          2.2057596362186153E+001          3.7198468484220467E+002          3.7198468484220467E+002          8.3580758477864450E+000          8.3580758477864450E+000          1.3295400060146737E-002          1.3295400060146737E-002          3.1999903570389847E+001          3.1999903570389847E+001         -9.8999999999999986E+001         -6.7585875958804760E+000         -6.7585875958804760E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7585875958804760E+000         -6.7585875958804760E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321169864524123E+054          4.4203879820873934E+040          0.0000000000000000E+000         -2.6517130394736091E+037         -6.2707540058950800E+038          4.4857472351858180E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              12          6.8329202972603548E+002          1.5000000000000000E+000          2.2057591209748260E+001          3.7198459795023530E+002          3.7198459795023530E+002          8.3580738954220095E+000          8.3580738954220095E+000          1.2366220214799944E-002          1.2366220214799944E-002          3.1999881145805190E+001          3.1999881145805190E+001         -9.8999999999999986E+001         -6.7573943528362230E+000         -6.7573943528362230E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7573943528362230E+000         -6.7573943528362230E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321127443200582E+054          5.1470135254158929E+040          0.0000000000000000E+000         -2.6517069499908575E+037         -6.2880044255513029E+038          5.2125452766213972E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              13          8.1862204321412389E+002          1.5000000000000000E+000          2.2057585753045927E+001          3.7198450592707633E+002          3.7198450592707633E+002          8.3580718277655315E+000          8.3580718277655315E+000          1.1210866085771713E-002          1.1210866085771713E-002          3.1999857397004444E+001          3.1999857397004444E+001         -9.8999999999999986E+001         -6.7557524414360426E+000         -6.7557524414360426E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7557524414360426E+000         -6.7557524414360426E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321082516835457E+054          5.8682300393692622E+040          0.0000000000000000E+000         -2.6517004266688333E+037         -6.3118191570102875E+038          5.9339999313660338E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              14          9.1464887672439841E+002          1.5000000000000000E+000          2.2057581863309050E+001          3.7198444032960492E+002          3.7198444032960492E+002          8.3580703538644183E+000          8.3580703538644183E+000          1.0230074662758453E-002          1.0230074662758453E-002          3.1999840467997714E+001          3.1999840467997714E+001         -9.8999999999999986E+001         -6.7537611304229674E+000         -6.7537611304229674E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7537611304229674E+000         -6.7537611304229674E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321050491706239E+054          6.4267315372882908E+040          0.0000000000000000E+000         -2.6516955621654336E+037         -6.3408231902555875E+038          6.4927914647530122E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              15          9.8896759281054017E+002          1.5000000000000000E+000          2.2057578841250166E+001          3.7198438936486679E+002          3.7198438936486679E+002          8.3580692087442969E+000          8.3580692087442969E+000          9.4207248564141359E-003          9.4207248564141359E-003          3.1999827315324474E+001          3.1999827315324474E+001         -9.8999999999999986E+001         -6.7520841674900440E+000         -6.7520841674900440E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7520841674900440E+000         -6.7520841674900440E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321025610392436E+054          6.7677563205702112E+040          0.0000000000000000E+000         -2.6516918248307362E+037         -6.3653524137541978E+038          6.8340615365325836E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              16          1.0508960477850637E+003          1.5000000000000000E+000          2.2057576315010230E+001          3.7198434676174031E+002          3.7198434676174031E+002          8.3580682515001499E+000          8.3580682515001499E+000          8.7215235015929756E-003          8.7215235015929756E-003          3.1999816320568286E+001          3.1999816320568286E+001         -9.8999999999999986E+001         -6.7507046419276371E+000         -6.7507046419276371E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7507046419276371E+000         -6.7507046419276371E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321004811281507E+054          7.0404324874651907E+040          0.0000000000000000E+000         -2.6516887282614610E+037         -6.3856021939906913E+038          7.1069401981333593E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              17          1.1054280152799988E+003          1.5000000000000000E+000          2.2057574084392176E+001          3.7198430914405344E+002          3.7198430914405344E+002          8.3580674062732019E+000          8.3580674062732019E+000          8.0875422102538227E-003          8.0875422102538227E-003          3.1999806612426219E+001          3.1999806612426219E+001         -9.8999999999999986E+001         -6.7495150439027594E+000         -6.7495150439027594E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7495150439027594E+000         -6.7495150439027594E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6320986446101165E+054          7.2742954728487506E+040          0.0000000000000000E+000         -2.6516860111489124E+037         -6.4031158311881261E+038          7.3409783171717809E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              18          1.1552426639999937E+003          1.5000000000000000E+000          2.2057572041699544E+001          3.7198427469558669E+002          3.7198427469558669E+002          8.3580666322550510E+000          8.3580666322550510E+000          7.4921464058228058E-003          7.4921464058228058E-003          3.1999797722179387E+001          3.1999797722179387E+001         -9.8999999999999986E+001         -6.7484432530503824E+000         -6.7484432530503824E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7484432530503824E+000         -6.7484432530503824E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6320969628160646E+054          7.4879886876972110E+040          0.0000000000000000E+000         -2.6516835329032267E+037         -6.4189362312242660E+038          7.5548297335423569E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              19          1.2018305926609344E+003          1.5000000000000000E+000          2.2057570126924958E+001          3.7198424240436105E+002          3.7198424240436105E+002          8.3580659067076724E+000          8.3580659067076724E+000          6.9200956799847545E-003          6.9200956799847545E-003          3.1999789388661060E+001          3.1999789388661060E+001         -9.8999999999999986E+001         -6.7474450067712519E+000         -6.7474450067712519E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7474450067712519E+000         -6.7474450067712519E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6320953863402656E+054          7.6863930414435690E+040          0.0000000000000000E+000         -2.6516812156518929E+037         -6.4337062358755143E+038          7.7533817850179763E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              20          1.2460600176863375E+003          1.5000000000000000E+000          2.2057568305109783E+001          3.7198421168082564E+002          3.7198421168082564E+002          8.3580652163845226E+000          8.3580652163845226E+000          6.3624895651199316E-003          6.3624895651199316E-003          3.1999781459723337E+001          3.1999781459723337E+001         -9.8999999999999986E+001         -6.7464962869727767E+000         -6.7464962869727767E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7464962869727767E+000         -6.7464962869727767E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6320938864004137E+054          7.8739520476945437E+040          0.0000000000000000E+000         -2.6516790143571654E+037         -6.4477749618508204E+038          7.9410814763274086E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
