                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                         "15140"          5.0000000000000000E+000          3.0000000000000000E+000          3.0000000000000000E+000                       "gfortran"                         "10.2.0"            "x86_64-macos-21.2.1"                       "20211217" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index                         Pre_zams 
                              10          4.6436302246991843E+004          3.0000000000000000E+000          1.7507141099062789E+001          1.1071681290293105E+002          1.8452788453777549E+002          7.4193679993678181E+000          5.8765694103883073E+000         -5.7349220598544093E-001         -1.0000000000000000E+000          4.9999966196039285E+000          3.0000001985317803E+000         -9.8999999999999986E+001         -1.0129446803863129E+001         -1.1358600479795511E+001         -9.8999999999999986E+001         -1.2575696793939859E+001         -1.0157511722963028E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.8999227333724702E-002          1.3406840173736346E+053          1.0905392445278808E+037          0.0000000000000000E+000         -4.5161634951703657E+033         -2.2405465849291452E+034          1.0932314074623271E+037          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                              11          5.7512417078390041E+004          3.0000000000000000E+000          1.7507140527426593E+001          1.1071682194101555E+002          1.8452786585947874E+002          7.4193674729427057E+000          5.8765694826237462E+000         -5.7491561140582981E-001         -1.0000000000000000E+000          4.9999957869780847E+000          3.0000002475194951E+000         -9.8999999999999986E+001         -1.0123937562957753E+001         -1.1354300265574139E+001         -9.8999999999999986E+001         -1.2571396566929049E+001         -1.0151921892557422E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.8835208573144407E-002          1.3406838597836729E+053          1.2596113748930633E+037          0.0000000000000000E+000         -4.5161624230827046E+033         -2.2695009552150904E+034          1.2623324920905867E+037          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                              12          7.0140597745475970E+004          3.0000000000000000E+000          1.7507139866081513E+001          1.1071683238731917E+002          1.8452784426009038E+002          7.4193668641320265E+000          5.8765695659832788E+000         -5.7703465649282015E-001         -1.0000000000000000E+000          4.9999948239607166E+000          3.0000003039197214E+000         -9.8999999999999986E+001         -1.0117706666865793E+001         -1.1350059942738048E+001         -9.8999999999999986E+001         -1.2567156228592918E+001         -1.0145558831948421E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.8566156560914795E-002          1.3406836774133483E+053          1.4423088457168663E+037          0.0000000000000000E+000         -4.5161611853435163E+033         -2.3028802683804312E+034          1.4450633421037811E+037          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                              13          8.2559071451415773E+004          3.0000000000000000E+000          1.7507139205672658E+001          1.1071684280374869E+002          1.8452782270636484E+002          7.4193662565220260E+000          5.8765696489098991E+000         -5.7958927255849224E-001         -1.0000000000000000E+000          4.9999938627155114E+000          3.0000003598313034E+000         -9.8999999999999986E+001         -1.0111234035792121E+001         -1.1346566440205850E+001         -9.8999999999999986E+001         -1.2563662708215311E+001         -1.0138889603717452E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.8165785257105723E-002          1.3406834952281146E+053          1.6277627579155969E+037          0.0000000000000000E+000         -4.5161599582857452E+033         -2.3383403244772096E+034          1.6305527142359027E+037          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                              14          9.3963702154877406E+004          3.0000000000000000E+000          1.7507138590562338E+001          1.1071685248878318E+002          1.8452780264795990E+002          7.4193656909689043E+000          5.8765697257953686E+000         -5.8232975822654121E-001         -1.0000000000000000E+000          4.9999929678621742E+000          3.0000004114494878E+000         -9.8999999999999986E+001         -1.0105329364839616E+001         -1.1344278504564750E+001         -9.8999999999999986E+001         -1.2561374754883412E+001         -1.0132748182462548E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.7683401253191047E-002          1.3406833254573472E+053          1.8158459393041987E+037          0.0000000000000000E+000         -4.5161588194454249E+033         -2.3714258627944514E+034          1.8186689810489377E+037          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                              15          1.0416378459943147E+005          3.0000000000000000E+000          1.7507138033312334E+001          1.1071686124638930E+002          1.8452778449275382E+002          7.4193651789829733E+000          5.8765697951061489E+000         -5.8510498832025537E-001         -1.0000000000000000E+000          4.9999921576276796E+000          3.0000004577675781E+000         -9.8999999999999986E+001         -1.0099992953813480E+001         -1.1342853035402433E+001         -9.8999999999999986E+001         -1.2559949269388758E+001         -1.0127158114720951E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.7166278191912737E-002          1.3406831715765412E+053          2.0090377309962138E+037          0.0000000000000000E+000         -4.5161577889117538E+033         -2.4019126610229294E+034          2.0118912594361279E+037          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                              16          1.1322463339740827E+005          3.0000000000000000E+000          1.7507137532302700E+001          1.1071686910522027E+002          1.8452776818477417E+002          7.4193647190041245E+000          5.8765698571104155E+000         -5.8784233215638315E-001         -1.0000000000000000E+000          4.9999914295702892E+000          3.0000004990069264E+000         -9.8999999999999986E+001         -1.0095003268108313E+001         -1.1341857090803929E+001         -9.8999999999999986E+001         -1.2558953310134898E+001         -1.0121911899374275E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.6642990915373503E-002          1.3406830331539261E+053          2.2095756622559115E+037          0.0000000000000000E+000         -4.5161568623046068E+033         -2.4308633824017469E+034          2.2124581413245437E+037          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                              17          1.2128373292528189E+005          3.0000000000000000E+000          1.7507137081434305E+001          1.1071687616432678E+002          1.8452775352211304E+002          7.4193643053568161E+000          5.8765699126335376E+000         -5.9051040563658042E-001         -1.0000000000000000E+000          4.9999907747350569E+000          3.0000005357610258E+000         -9.8999999999999986E+001         -1.0090154481109520E+001         -1.1340980736985063E+001         -9.8999999999999986E+001         -1.2558076943267629E+001         -1.0116810429071355E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.6127247414320063E-002          1.3406829085206770E+053          2.4152042913016095E+037          0.0000000000000000E+000         -4.5161560279258945E+033         -2.4593469760125832E+034          2.4181152538804147E+037          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                              18          1.2848374973605288E+005          3.0000000000000000E+000          1.7507136673903766E+001          1.1071688253328696E+002          1.8452774028045843E+002          7.4193639317305902E+000          5.8765699625772001E+000         -5.9309843842508536E-001         -1.0000000000000000E+000          4.9999901831580527E+000          3.0000005686674673E+000         -9.8999999999999986E+001         -1.0085322227273952E+001         -1.1340052589855874E+001         -9.8999999999999986E+001         -1.2557148784509197E+001         -1.0111732221176842E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.5624950487518962E-002          1.3406827958110139E+053          2.6245288989495430E+037          0.0000000000000000E+000         -4.5161552731426099E+033         -2.4880375869911232E+034          2.6274685520638482E+037          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
                              19          1.3495300497564001E+005          3.0000000000000000E+000          1.7507136303383749E+001          1.1071688831361267E+002          1.8452772825159278E+002          7.4193635922655155E+000          5.8765700077716660E+000         -5.9560437773652941E-001         -1.0000000000000000E+000          4.9999896455831987E+000          3.0000005983083273E+000         -9.8999999999999986E+001         -1.0080415341294605E+001         -1.1338963488658948E+001         -9.8999999999999986E+001         -1.2556059672900451E+001         -1.0106587080950566E+001         -9.8999999999999986E+001          1.0000000000000000E+000          5.5138107101108766E-002          1.3406826932877156E+053          2.8329235142482081E+037          0.0000000000000000E+000         -4.5161545863090088E+033         -2.5174583996060541E+034          2.8358925881064449E+037          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.0000000000000000E+000 
