                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                         "15140"          3.2000000000000000E+001          3.2000000000000000E+001          1.5000000000000000E+000                       "gfortran"                         "10.2.0"            "x86_64-macos-21.2.1"                       "20211109" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                              10          4.4813379277492970E+002          1.5000000000000000E+000          2.2057600192082035E+001          3.7198474943050286E+002          3.7198474943050286E+002          8.3580772990125780E+000          8.3580772990125780E+000          5.3844725944299484E-003          5.3844725944299484E-003          3.1999920238976571E+001          3.1999920238976571E+001         -9.8999999999999986E+001         -6.7485112168609556E+000         -6.7485112168609556E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7485112168609556E+000         -6.7485112168609556E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321201397050153E+054          3.8687002627603144E+040          0.0000000000000000E+000         -2.6517175679642659E+037         -6.4179491126607195E+038          3.9355314714548858E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              11          5.5502390047997778E+002          1.5000000000000000E+000          2.2057595800274068E+001          3.7198467536598218E+002          3.7198467536598218E+002          8.3580756348664256E+000          8.3580756348664256E+000          4.7043539347435383E-003          4.7043539347435383E-003          3.1999901124819747E+001          3.1999901124819747E+001         -9.8999999999999986E+001         -6.7475823697323571E+000         -6.7475823697323571E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7475823697323571E+000         -6.7475823697323571E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321165238157852E+054          4.5587242739030437E+040          0.0000000000000000E+000         -2.6517123771669919E+037         -6.4316880578151252E+038          4.6256928668583618E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              12          6.8329202972603548E+002          1.5000000000000000E+000          2.2057590514323358E+001          3.7198458622242021E+002          3.7198458622242021E+002          8.3580736319112425E+000          8.3580736319112425E+000          3.7421685232466553E-003          3.7421685232466553E-003          3.1999878119158407E+001          3.1999878119158407E+001         -9.8999999999999986E+001         -6.7462840383885911E+000         -6.7462840383885911E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7462840383885911E+000         -6.7462840383885911E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321121717594913E+054          5.3076474684045424E+040          0.0000000000000000E+000         -2.6517061300196265E+037         -6.4509419081141616E+038          5.3748085936157040E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              13          8.1395171103717928E+002          1.5000000000000000E+000          2.2057585107561739E+001          3.7198449504147345E+002          3.7198449504147345E+002          8.3580715831783259E+000          8.3580715831783259E+000          2.5844948020352573E-003          2.5844948020352573E-003          3.1999854587711891E+001          3.1999854587711891E+001         -9.8999999999999986E+001         -6.7444929698000671E+000         -6.7444929698000671E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7444929698000671E+000         -6.7444929698000671E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321077202408522E+054          6.0310512517675085E+040          0.0000000000000000E+000         -2.6516996446823695E+037         -6.4775979891473081E+038          6.0984789313036640E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              14          9.0674737239268018E+002          1.5000000000000000E+000          2.2057581249128212E+001          3.7198442997190944E+002          3.7198442997190944E+002          8.3580701211386934E+000          8.3580701211386934E+000          1.6068003468475641E-003          1.6068003468475641E-003          3.1999837794945453E+001          3.1999837794945453E+001         -9.8999999999999986E+001         -6.7424054236946880E+000         -6.7424054236946880E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7424054236946880E+000         -6.7424054236946880E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321045435011095E+054          6.5859901710136354E+040          0.0000000000000000E+000         -2.6516948200526924E+037         -6.5088059609478585E+038          6.6537299254431665E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              15          9.7865002242614833E+002          1.5000000000000000E+000          2.2057578247644024E+001          3.7198437935414807E+002          3.7198437935414807E+002          8.3580689838147499E+000          8.3580689838147499E+000          8.0160584935795533E-004          8.0160584935795533E-004          3.1999824731819011E+001          3.1999824731819011E+001         -9.8999999999999986E+001         -6.7406977664041792E+000         -6.7406977664041792E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7406977664041792E+000         -6.7406977664041792E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321020723096980E+054          6.9300207710255050E+040          0.0000000000000000E+000         -2.6516911087430610E+037         -6.5344468523555327E+038          6.9980169306578039E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              16          1.0386794683110375E+003          1.5000000000000000E+000          2.2057575733867207E+001          3.7198433696120270E+002          3.7198433696120270E+002          8.3580680312931364E+000          8.3580680312931364E+000          1.0581788568972129E-004          1.0581788568972129E-004          3.1999813791305428E+001          3.1999813791305428E+001         -9.8999999999999986E+001         -6.7393266249322590E+000         -6.7393266249322590E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7393266249322590E+000         -6.7393266249322590E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6321000026599573E+054          7.2030516163272370E+040          0.0000000000000000E+000         -2.6516880281324221E+037         -6.5551080284620901E+038          7.2712543846399900E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              17          1.0916355327050239E+003          1.5000000000000000E+000          2.2057573510333416E+001          3.7198429946298643E+002          3.7198429946298643E+002          8.3580671887505602E+000          8.3580671887505602E+000         -5.2538651969112127E-004         -5.2538651969112127E-004          3.1999804113996294E+001          3.1999804113996294E+001         -9.8999999999999986E+001         -6.7381610870094306E+000         -6.7381610870094306E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7381610870094306E+000         -6.7381610870094306E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6320981719747725E+054          7.4366518567201506E+040          0.0000000000000000E+000         -2.6516853201836116E+037         -6.5727224309024070E+038          7.5050307663493582E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              18          1.1400906208714180E+003          1.5000000000000000E+000          2.2057571470898047E+001          3.7198426506945111E+002          3.7198426506945111E+002          8.3580664159666505E+000          8.3580664159666505E+000         -1.1148611490415703E-003         -1.1148611490415703E-003          3.1999795237925664E+001          3.1999795237925664E+001         -9.8999999999999986E+001         -6.7371186389144739E+000         -6.7371186389144739E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7371186389144739E+000         -6.7371186389144739E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6320964928625718E+054          7.6509243221046693E+040          0.0000000000000000E+000         -2.6516828463142137E+037         -6.5885167251980270E+038          7.7194611722029640E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              19          1.1855855751824724E+003          1.5000000000000000E+000          2.2057569551792238E+001          3.7198423270518265E+002          3.7198423270518265E+002          8.3580656887780833E+000          8.3580656887780833E+000         -1.6783994695531847E-003         -1.6783994695531847E-003          3.1999786885557388E+001          3.1999786885557388E+001         -9.8999999999999986E+001         -6.7361535977625726E+000         -6.7361535977625726E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.7361535977625726E+000         -6.7361535977625726E+000          1.0000000000000000E+000         -1.0000000000000000E+000          3.6320949128209551E+054          7.8518489417296312E+040          0.0000000000000000E+000         -2.6516805247687820E+037         -6.6031720551787304E+038          7.9205323428061875E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
